X坐标（米）,Y坐标（米）,Z坐标（米）
-0.0000,0.0000,-300.0165,
6.0998,8.3960,-299.8272,
9.8732,-3.2079,-299.9311,
-0.0000,-10.3796,-299.8916,
-9.8680,-3.2062,-299.7739,
-6.0981,8.3936,-299.7410,
-0.0000,16.7905,-299.4379,
12.1914,16.7806,-299.2633,
15.9779,5.1917,-299.6230,
19.7402,-6.4136,-299.4780,
9.8773,-13.5944,-299.6961,
-0.0000,-20.7500,-299.3928,
-9.8717,-13.5868,-299.5267,
-19.7197,-6.4070,-299.1672,
-15.9657,5.1877,-299.3950,
-12.1853,16.7722,-299.1144,
-6.0961,25.1872,-298.6974,
6.0974,25.1926,-298.7613,
18.2664,25.1416,-298.3279,
22.0878,13.5915,-298.9359,
25.8680,1.9885,-299.0478,
29.5877,-9.6128,-298.6514,
19.7646,-16.8167,-299.1280,
9.8852,-23.9904,-299.0817,
-0.0000,-31.0963,-298.5175,
-9.8793,-23.9762,-298.9045,
-19.7427,-16.7980,-298.7954,
-29.5434,-9.5984,-298.2042,
-25.8367,1.9861,-298.6866,
-22.0678,13.5793,-298.6662,
-18.2553,25.1264,-298.1470,
-12.1628,33.5373,-297.6197,
-0.0000,33.5706,-297.9130,
12.1668,33.5484,-297.7179,
24.3172,33.4704,-297.0258,
28.1611,21.9504,-297.8766,
31.9617,10.3855,-298.2390,
35.7113,-1.2053,-298.0994,
39.4020,-12.8025,-297.4476,
29.6084,-20.0206,-298.1845,
19.7639,-27.2027,-298.3974,
9.8880,-34.3347,-298.0888,
-0.0000,-41.4034,-297.2654,
-9.8820,-34.3139,-297.9085,
-19.7410,-27.1712,-298.0525,
-29.5612,-19.9887,-297.7094,
-39.3286,-12.7787,-296.8936,
-35.6547,-1.2034,-297.6273,
-31.9213,10.3724,-297.8624,
-28.1351,21.9301,-297.6013,
-24.3028,33.4506,-296.8495,
-18.2527,41.9574,-296.1970,
-6.0947,42.0158,-296.7135,
6.0954,42.0209,-296.7490,
18.2586,41.9711,-296.2938,
30.3364,41.7549,-295.3637,
34.2899,30.3492,-296.4316,
38.1177,18.8010,-297.0401,
41.9044,7.1977,-297.1524,
45.6295,-4.4022,-296.7561,
49.1686,-15.9752,-295.8648,
39.5144,-23.2653,-296.8446,
29.6874,-30.4707,-297.3200,
19.8025,-37.6441,-297.2697,
9.9115,-44.7479,-296.6988,
-0.0000,-51.6593,-295.6377,
-9.9055,-44.7209,-296.5200,
-19.7793,-37.6000,-296.9214,
-29.6384,-30.4205,-296.8298,
-39.4365,-23.2194,-296.2587,
-49.0657,-15.9418,-295.2455,
-45.5451,-4.3940,-296.2067,
-41.8399,7.1866,-296.6951,
-38.0726,18.7788,-296.6890,
-34.2622,30.3247,-296.1924,
-30.3231,41.7365,-295.2336,
-24.2643,50.2345,-294.4732,
-12.1807,50.4122,-295.1845,
-0.0000,50.4565,-295.4423,
12.1822,50.4185,-295.2211,
24.2689,50.2439,-294.5284,
36.3173,49.9866,-293.3496,
40.3006,38.6222,-294.6403,
44.2230,27.1891,-295.4669,
48.0486,15.6128,-295.8242,
51.7960,4.0005,-295.6828,
55.3817,-7.5674,-295.0476,
58.8735,-19.1289,-293.9032,
49.2681,-26.4378,-295.1371,
39.5756,-33.7005,-295.8553,
29.7199,-40.9055,-296.0654,
19.8153,-48.0356,-295.7546,
9.9126,-54.9908,-294.9452,
-0.0000,-61.8473,-293.6385,
-9.9068,-54.9587,-294.7728,
-19.7924,-47.9800,-295.4126,
-29.6707,-40.8377,-295.5750,
-39.4955,-33.6323,-295.2564,
-49.1595,-26.3795,-294.4864,
-58.7468,-19.0877,-293.2705,
-55.2727,-7.5525,-294.4673,
-51.7086,3.9937,-295.1836,
-47.9843,15.5919,-295.4283,
-44.1812,27.1634,-295.1880,
